No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Default
39,24,male,2,own,little,moderate,458,9,radio/TV,good,0
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,good,0
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,0
42,44,male,1,own,little,moderate,6204,18,repairs,good,0
43,24,male,2,rent,moderate,little,6187,30,car,good,0
44,58,female,1,free,little,little,6143,48,car,bad,1
45,35,female,3,own,little,NA,1393,11,car,good,0
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,good,0
47,23,female,0,rent,quite rich,little,1352,6,car,good,0
48,39,male,1,own,little,NA,7228,11,car,good,0
49,28,female,2,own,moderate,NA,2073,12,radio/TV,good,0
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good,0
51,30,male,3,own,little,moderate,5965,27,car,good,0
52,25,male,2,own,little,NA,1262,12,radio/TV,good,0
53,31,male,2,own,NA,NA,3378,18,car,good,0
54,57,male,2,free,little,moderate,2225,36,car,bad,1
55,26,male,1,own,NA,NA,783,6,car,good,0
56,52,male,3,own,NA,moderate,6468,12,radio/TV,bad,1
57,31,female,2,own,little,NA,9566,36,radio/TV,good,0
58,23,female,3,own,little,rich,1961,18,car,good,0
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,1
60,27,male,2,own,little,moderate,1391,9,business,good,0
61,50,male,2,own,NA,moderate,1537,15,radio/TV,good,0
62,61,male,3,free,little,moderate,1953,36,business,bad,1
63,25,male,2,own,little,moderate,14421,48,business,bad,1
64,26,female,2,own,little,NA,3181,24,radio/TV,good,0
65,48,male,2,own,NA,NA,5190,27,repairs,good,0
66,29,female,2,own,little,NA,2171,12,radio/TV,good,0
67,22,male,2,own,rich,moderate,1007,12,car,good,0
68,37,male,2,free,little,NA,1819,36,education,bad,1
69,25,female,2,own,NA,NA,2394,36,radio/TV,good,0
70,30,female,2,own,little,NA,8133,36,car,good,0
71,46,male,1,rent,NA,NA,730,7,radio/TV,good,0
72,51,male,3,free,little,little,1164,8,vacation/others,good,0
73,41,female,1,own,little,moderate,5954,42,business,good,0
74,40,male,3,own,NA,little,1977,36,education,bad,1
75,66,male,3,free,little,little,1526,12,car,good,0
76,34,male,2,own,little,little,3965,42,radio/TV,bad,1
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,0
78,39,male,1,own,NA,NA,9436,54,car,good,0
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,0
80,44,female,2,own,NA,NA,5943,24,radio/TV,bad,1
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,good,0
82,24,female,1,rent,moderate,NA,1568,18,business,good,0
83,58,female,1,own,little,little,1755,24,vacation/others,good,0
84,52,male,1,own,little,little,2315,10,radio/TV,good,0
85,29,female,3,own,little,NA,1412,12,business,good,0
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,0
87,47,male,2,free,moderate,moderate,12612,36,education,bad,1
88,30,male,3,own,moderate,little,2249,18,car,good,0
89,28,male,2,own,little,little,1108,12,repairs,bad,1
90,56,male,2,own,little,NA,618,12,radio/TV,good,0
91,54,male,2,own,little,little,1409,12,car,good,0
92,33,female,1,own,NA,NA,797,12,radio/TV,bad,1
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good,0
94,54,male,2,own,rich,moderate,1318,12,car,good,0
95,58,male,2,rent,little,moderate,15945,54,business,bad,1
96,61,female,2,own,NA,NA,2012,12,education,good,0
97,34,male,2,own,moderate,moderate,2622,18,business,good,0
98,36,male,2,own,little,moderate,2337,36,radio/TV,good,0
99,36,male,3,rent,NA,moderate,7057,20,car,good,0
100,41,male,1,rent,moderate,NA,1469,24,car,good,0
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,0
102,24,female,2,own,little,NA,932,6,radio/TV,good,0
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,0
104,26,male,2,rent,NA,NA,2445,12,car,good,0
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,1
106,39,male,3,own,little,NA,6458,18,car,bad,1
107,32,male,2,own,little,moderate,6078,12,car,good,0
108,30,female,2,own,NA,little,7721,24,furniture/equipment,good,0
109,35,male,2,own,quite rich,moderate,1410,14,business,good,0
110,31,male,2,own,moderate,moderate,1449,6,business,good,0
111,23,female,2,rent,little,rich,392,15,education,good,0
112,28,male,1,rent,little,moderate,6260,18,car,good,0
113,25,female,2,own,little,NA,7855,36,car,bad,1
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,0
115,47,male,2,own,NA,NA,3578,48,radio/TV,good,0
116,30,female,3,own,NA,little,7174,42,radio/TV,bad,1
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,good,0
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,1
119,36,male,3,own,quite rich,moderate,2366,12,car,good,0
120,25,female,2,own,little,little,1835,21,radio/TV,bad,1
121,41,female,3,rent,little,NA,3868,24,car,good,0
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,good,0
123,63,male,2,free,little,rich,781,10,car,good,0
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad,1
125,30,male,2,own,little,little,2121,12,car,good,0
126,40,male,1,own,little,little,701,12,radio/TV,good,0
127,30,male,2,own,little,moderate,639,12,repairs,bad,1
128,34,male,3,own,little,moderate,1860,12,car,good,0
129,29,female,2,own,little,little,3499,12,car,bad,1
130,24,female,2,own,NA,moderate,8487,48,car,good,0
131,29,male,2,own,little,little,6887,36,education,bad,1
132,27,male,1,own,little,NA,2708,15,furniture/equipment,good,0
133,47,male,2,free,little,NA,1984,18,furniture/equipment,good,0
134,21,female,2,own,moderate,NA,10144,60,radio/TV,good,0
135,38,female,2,own,NA,NA,1240,12,radio/TV,good,0
136,27,male,2,own,rich,NA,8613,27,car,good,0
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,1
138,35,male,2,own,NA,moderate,2728,15,radio/TV,good,0
139,44,female,1,rent,little,rich,1881,12,radio/TV,good,0
140,27,male,0,own,rich,rich,709,6,car,good,0
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,0
142,27,male,3,own,little,little,3416,27,radio/TV,good,0
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,1
144,23,female,2,own,little,NA,2288,21,furniture/equipment,good,0
145,30,male,2,own,moderate,moderate,3566,48,business,good,0
146,39,female,2,own,little,little,860,6,car,good,0
147,51,female,2,own,moderate,NA,682,12,car,good,0
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,0
149,46,male,2,own,rich,NA,1582,18,radio/TV,good,0
150,42,male,2,free,moderate,NA,1346,6,radio/TV,good,0
151,38,male,2,own,little,NA,1924,10,radio/TV,good,0
152,24,male,2,own,little,rich,5848,36,radio/TV,good,0
153,29,female,2,rent,rich,moderate,7758,24,car,good,0
154,36,male,3,rent,moderate,moderate,6967,24,business,good,0
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,1
156,48,male,2,own,moderate,little,1288,9,repairs,good,0
157,45,male,1,own,little,little,339,12,education,good,0
158,38,male,2,own,moderate,moderate,3512,24,car,good,0
159,34,male,1,own,NA,NA,1898,6,radio/TV,good,0
160,36,male,2,own,moderate,NA,2872,24,radio/TV,good,0
161,30,female,2,own,little,NA,1055,18,car,good,0
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good,0
163,70,male,3,free,little,moderate,7308,10,car,good,0
164,36,male,2,own,quite rich,NA,909,36,car,good,0
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good,0
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,1
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,0
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,good,0
169,31,male,2,own,little,moderate,1935,24,business,bad,1
170,33,male,2,rent,little,little,950,15,car,bad,1
171,26,female,2,own,little,NA,763,12,furniture/equipment,good,0
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,1
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,0
174,26,male,2,own,little,little,3414,21,education,bad,1
175,53,female,3,own,NA,NA,7485,30,car,bad,1
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,0
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,0
178,31,male,3,rent,little,NA,1963,12,radio/TV,good,0
179,65,male,2,own,little,little,571,21,car,good,0
180,28,male,2,own,little,NA,9572,36,business,bad,1
181,30,male,3,own,little,moderate,4455,36,business,bad,1
182,40,male,1,own,NA,little,1647,21,car,bad,1
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,good,0
184,36,male,2,own,little,moderate,884,18,car,bad,1
185,31,male,2,own,little,NA,1360,15,radio/TV,good,0
186,74,female,3,free,little,moderate,5129,9,car,bad,1
187,68,male,0,free,little,moderate,1175,16,car,good,0
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,1
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,0
190,54,male,3,own,rich,NA,4591,24,business,bad,1
191,34,male,1,free,moderate,moderate,3844,48,business,bad,1
192,36,male,2,own,little,moderate,3915,27,business,bad,1
193,29,male,2,rent,little,NA,2108,6,radio/TV,good,0
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,1
195,34,female,3,own,little,moderate,1501,9,education,bad,1
196,28,female,2,own,little,NA,1382,6,radio/TV,good,0
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,1
198,36,male,2,free,NA,moderate,2760,24,car,good,0
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,1
200,52,male,2,own,quite rich,NA,936,9,education,good,0
201,27,male,1,own,little,little,1168,12,car,good,0
202,26,male,2,own,little,NA,5117,27,business,good,0
203,21,male,2,rent,little,little,902,12,education,bad,1
204,38,male,1,own,little,NA,1495,12,car,good,0
205,38,male,3,free,little,little,10623,30,car,good,0
206,43,male,2,own,little,NA,1935,12,furniture/equipment,good,0
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,0
208,21,male,1,own,little,little,6568,24,business,good,0
209,55,male,2,own,rich,NA,1413,12,car,good,0
210,33,male,2,own,NA,NA,3074,9,radio/TV,good,0
211,45,female,1,own,NA,NA,3835,36,radio/TV,good,0
212,50,male,2,own,little,little,5293,27,business,bad,1
213,66,male,3,own,little,rich,1908,30,business,bad,1
214,51,male,2,own,NA,NA,3342,36,radio/TV,good,0
215,39,female,1,own,NA,moderate,932,6,education,good,0
216,31,male,2,own,little,little,3104,18,business,good,0
217,23,male,2,own,little,rich,3913,36,radio/TV,good,0
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,0
219,64,female,2,own,little,NA,1364,10,car,good,0
220,26,male,1,own,little,moderate,625,12,radio/TV,good,0
221,23,female,2,rent,NA,little,1200,12,education,good,0
222,30,male,2,own,little,NA,707,12,radio/TV,good,0
223,32,male,2,own,NA,NA,2978,24,business,good,0
224,30,male,2,own,little,NA,4657,15,car,good,0
225,27,male,2,own,little,NA,2613,36,repairs,good,0
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,1
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,1
228,22,male,2,own,little,NA,1478,9,radio/TV,bad,1
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,0
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,1
231,51,male,1,free,quite rich,NA,2507,9,car,good,0
232,35,male,2,own,moderate,NA,2141,12,radio/TV,good,0
233,25,male,1,own,little,moderate,866,18,radio/TV,good,0
234,42,male,1,own,little,NA,1544,4,radio/TV,good,0
235,30,male,3,own,little,little,1823,24,radio/TV,bad,1
236,23,male,0,own,NA,moderate,14555,6,car,bad,1
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,1
238,35,female,2,own,little,NA,1291,12,radio/TV,good,0
239,39,male,2,own,little,little,2522,30,radio/TV,good,0
240,29,female,2,own,NA,little,915,24,car,bad,1
241,51,male,2,own,little,NA,1595,6,radio/TV,good,0
242,24,male,2,free,little,little,4605,48,car,bad,1
243,27,female,2,own,little,NA,1185,12,business,good,0
244,35,female,1,own,quite rich,NA,3447,12,education,good,0
245,25,male,2,own,little,NA,1258,24,business,good,0
246,52,male,2,own,little,NA,717,12,radio/TV,good,0
247,35,male,2,rent,moderate,NA,1204,6,car,good,0
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,0
249,22,female,2,rent,little,NA,433,18,radio/TV,bad,1
250,39,female,1,own,rich,little,666,6,car,good,0
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,0
252,24,female,2,own,little,moderate,2150,30,car,bad,1
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good,0
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good,0
255,27,male,1,own,NA,moderate,7418,60,radio/TV,good,0
256,35,male,1,own,little,NA,2684,24,radio/TV,good,0
257,29,male,2,free,little,little,2149,12,radio/TV,bad,1
258,23,female,2,own,moderate,NA,3812,15,car,good,0
259,57,female,1,own,moderate,NA,1154,11,radio/TV,good,0
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,0
261,55,female,2,own,little,little,1603,24,radio/TV,good,0
262,36,male,3,free,little,little,5302,18,car,good,0
263,57,female,1,free,little,NA,2748,12,education,good,0
264,32,male,1,own,little,NA,1231,10,car,good,0
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,1
266,36,male,2,own,NA,NA,6304,36,business,good,0
267,38,female,2,own,little,NA,1533,24,radio/TV,good,0
268,45,male,3,own,little,little,8978,14,car,bad,1
269,25,male,2,own,NA,NA,999,24,radio/TV,good,0
270,32,male,2,own,NA,NA,2662,18,car,good,0
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good,0
272,36,male,3,free,NA,moderate,12169,48,car,good,0
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,1
274,34,male,1,own,little,little,11998,30,repairs,bad,1
275,32,male,2,own,little,NA,2697,9,radio/TV,good,0
276,26,female,2,own,little,NA,2404,18,radio/TV,good,0
277,49,male,1,own,NA,little,1262,12,furniture/equipment,good,0
278,32,female,2,own,little,NA,4611,6,furniture/equipment,bad,1
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,good,0
280,23,male,2,rent,rich,NA,3368,15,car,good,0
281,50,male,2,own,little,NA,1574,12,furniture/equipment,good,0
282,49,male,1,own,NA,rich,1445,18,radio/TV,good,0
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,good,0
284,37,male,2,own,moderate,moderate,3878,24,car,good,0
285,35,female,1,own,little,little,10722,47,car,good,0
286,26,male,2,own,little,little,4788,48,car,good,0
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,0
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,0
289,48,male,2,own,little,little,1024,24,radio/TV,bad,1
290,26,male,2,own,little,NA,1076,12,business,good,0
291,28,male,3,rent,little,moderate,9398,36,car,bad,1
292,44,female,3,free,little,little,6419,24,car,good,0
293,56,male,2,free,little,rich,4796,42,car,good,0
294,46,male,3,own,NA,NA,7629,48,business,good,0
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,1
296,20,female,2,rent,NA,NA,4675,12,car,good,0
297,45,male,1,own,NA,NA,1287,10,car,good,0
298,43,male,2,own,little,NA,2515,18,furniture/equipment,good,0
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,0
300,54,female,0,own,little,NA,672,6,car,good,0
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,1
302,37,male,1,own,NA,rich,1344,24,car,bad,1
303,49,male,2,own,little,little,1038,10,car,good,0
304,44,male,2,free,quite rich,NA,10127,48,car,bad,1
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,good,0
306,24,female,1,rent,NA,NA,4811,30,car,good,0
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,1
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,1
309,22,male,1,rent,little,moderate,276,9,car,good,0
310,40,male,0,free,NA,moderate,5381,48,vacation/others,good,0
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good,0
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,0
313,25,male,1,own,little,moderate,685,12,car,bad,1
314,29,male,1,own,NA,rich,1494,4,car,good,0
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,1
316,38,male,1,own,little,little,708,12,furniture/equipment,good,0
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good,0
318,32,male,2,own,little,NA,701,12,education,good,0
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,0
320,28,male,3,own,little,moderate,4249,30,car,bad,1
321,32,male,2,own,little,little,1938,24,radio/TV,bad,1
322,34,male,3,free,little,little,2910,24,car,good,0
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,0
324,36,female,2,own,little,NA,1028,18,car,good,0
325,39,male,1,own,little,little,3398,8,car,good,0
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good,0
327,34,female,2,own,rich,NA,1525,24,car,good,0
328,31,male,2,own,little,rich,4473,36,radio/TV,good,0
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,0
330,75,male,3,free,little,little,6615,24,car,good,0
331,30,female,2,own,moderate,NA,1864,18,education,bad,1
332,24,female,3,own,moderate,moderate,7408,60,car,bad,1
333,24,female,1,rent,moderate,NA,11590,48,car,bad,1
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,1
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,1
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,0
337,24,female,2,rent,NA,little,1275,15,domestic appliances,bad,1
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,0
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,0
340,24,female,2,free,little,moderate,5743,24,education,good,0
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,0
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,0
343,33,male,3,own,little,moderate,4439,18,business,good,0
344,37,male,1,own,little,rich,3949,10,car,good,0
345,43,female,1,own,little,NA,1459,15,radio/TV,good,0
346,23,male,2,own,little,moderate,882,13,radio/TV,good,0
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,0
348,34,male,1,own,moderate,NA,1743,6,business,good,0
349,32,male,2,free,rich,moderate,1136,9,education,bad,1
350,23,female,2,rent,little,NA,1236,9,domestic appliances,good,0
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,1
352,38,male,3,own,NA,NA,3229,18,car,good,0
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,1
354,46,male,2,free,quite rich,NA,727,10,education,good,0
355,23,male,1,own,little,moderate,1246,24,car,bad,1
356,49,male,2,own,NA,NA,2331,12,radio/TV,good,0
357,26,male,3,own,little,NA,4463,36,radio/TV,bad,1
358,28,male,2,own,little,NA,776,12,radio/TV,good,0
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,1
360,61,male,2,free,NA,moderate,1239,18,education,good,0
361,37,male,3,own,NA,rich,3399,12,radio/TV,good,0
362,36,female,2,own,little,rich,2247,12,car,good,0
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,good,0
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,1
365,36,male,2,own,little,NA,1542,12,business,good,0
366,27,male,2,own,little,NA,3850,18,car,good,0
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,0
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,1
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,0
370,36,male,2,own,NA,NA,3079,36,car,good,0
371,33,male,2,own,little,NA,6070,18,radio/TV,good,0
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,good,0
373,63,male,3,free,NA,NA,13756,60,car,good,0
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,1
375,37,female,2,rent,little,little,7685,48,business,bad,1
376,34,male,2,own,little,NA,2320,18,radio/TV,good,0
377,36,male,2,free,NA,NA,846,7,radio/TV,good,0
378,57,male,3,free,little,moderate,14318,36,car,bad,1
379,52,female,1,own,moderate,NA,362,6,car,good,0
380,39,male,2,own,NA,little,2212,20,furniture/equipment,good,0
381,38,female,3,free,little,moderate,12976,18,car,bad,1
382,25,female,2,rent,NA,NA,1283,22,car,good,0
383,26,male,2,own,little,rich,1330,12,car,good,0
384,26,male,1,own,moderate,NA,4272,30,business,good,0
385,25,female,2,own,little,NA,2238,18,radio/TV,good,0
386,21,female,2,rent,NA,NA,1126,18,radio/TV,good,0
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,0
388,27,male,2,own,quite rich,moderate,2326,15,business,good,0
389,27,female,2,own,little,NA,1449,9,business,good,0
390,30,male,3,own,little,NA,1820,18,car,good,0
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,0
392,39,male,3,free,little,little,3249,36,car,good,0
393,31,female,2,own,little,little,1957,6,radio/TV,good,0
394,31,male,3,own,little,NA,2406,9,furniture/equipment,good,0
395,32,male,2,rent,moderate,moderate,11760,39,education,good,0
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,0
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,0
398,46,male,2,rent,little,moderate,1223,12,car,bad,1
399,43,female,1,own,rich,NA,1516,24,radio/TV,good,0
400,39,male,2,own,little,NA,1473,18,radio/TV,good,0
401,28,male,2,own,NA,moderate,1887,18,business,good,0
402,27,male,2,own,little,NA,8648,24,business,bad,1
403,27,male,1,own,little,NA,802,14,car,good,0
404,43,male,2,own,NA,moderate,2899,18,car,good,0
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,1
406,43,male,2,own,NA,NA,2197,24,car,good,0
407,27,male,2,own,little,little,1053,15,radio/TV,good,0
408,26,male,3,own,quite rich,NA,3235,24,radio/TV,good,0
409,28,male,2,own,quite rich,rich,939,12,car,bad,1
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,0
411,35,male,3,own,little,NA,7253,33,car,good,0
412,42,male,3,own,little,NA,2292,12,business,bad,1
413,40,male,1,rent,quite rich,NA,1597,10,car,good,0
414,35,female,2,own,NA,little,1381,24,car,bad,1
415,35,male,2,own,little,NA,5842,36,car,good,0
416,33,male,1,own,little,little,2579,12,car,bad,1
417,23,female,2,rent,NA,little,8471,18,education,good,0
418,31,female,3,own,quite rich,NA,2782,21,car,good,0
419,33,female,2,own,NA,moderate,1042,18,car,bad,1
420,20,female,2,rent,rich,NA,3186,15,car,good,0
421,30,male,2,own,NA,moderate,2028,12,car,good,0
422,47,male,1,own,little,moderate,958,12,car,good,0
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good,0
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad,1
425,21,male,2,rent,little,moderate,2779,18,car,good,0
426,29,male,2,own,little,NA,2743,28,radio/TV,good,0
427,46,male,2,own,rich,NA,1149,18,radio/TV,good,0
428,20,male,2,own,little,NA,1313,9,furniture/equipment,good,0
429,55,female,0,free,little,little,1190,18,repairs,bad,1
430,74,male,1,own,little,NA,3448,5,business,good,0
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,1
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,0
433,33,male,2,own,little,NA,2058,24,repairs,good,0
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,0
435,25,male,2,own,NA,moderate,1484,12,radio/TV,bad,1
436,23,male,1,rent,quite rich,NA,660,6,repairs,good,0
437,37,female,2,own,rich,NA,1287,24,car,good,0
438,65,male,0,own,little,little,3394,42,repairs,good,0
439,26,female,0,own,little,rich,609,12,business,bad,1
440,39,male,3,own,little,NA,1884,12,car,good,0
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,0
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,0
443,41,male,1,own,little,NA,719,12,education,bad,1
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,1
445,41,female,1,rent,NA,NA,1244,9,education,good,0
446,34,female,2,own,little,little,1842,36,car,bad,1
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,0
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,good,0
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,1
450,30,male,3,own,NA,NA,11054,36,car,good,0
451,29,female,2,own,little,NA,518,6,radio/TV,good,0
452,34,male,2,own,little,NA,2759,12,furniture/equipment,good,0
453,35,male,3,own,little,NA,2670,24,car,good,0
454,31,male,2,own,little,little,4817,24,car,bad,1
455,29,female,3,own,little,NA,2679,24,car,good,0
456,36,male,2,rent,little,little,3905,11,car,good,0
457,35,male,2,free,little,little,3386,12,car,bad,1
458,27,female,2,own,little,little,343,6,domestic appliances,good,0
459,32,male,2,own,little,NA,4594,18,radio/TV,good,0
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,0
461,36,male,2,own,little,little,1721,15,car,good,0
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,0
463,38,male,2,own,NA,moderate,754,12,education,good,0
464,34,male,2,own,little,NA,1950,18,business,good,0
465,63,male,2,own,little,little,2924,24,car,good,0
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,1
467,32,male,2,own,NA,NA,7238,48,radio/TV,good,0
468,26,female,2,own,little,NA,2764,33,business,good,0
469,35,male,1,own,little,NA,4679,24,car,good,0
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,1
471,23,female,2,own,little,little,448,6,education,bad,1
